Student_ID,Student_Name,Course_Name,Feedback_Rating,Feedback_Comment,Suggestions
STD001,Lakshmi Sharma,Data Science using Python,4,"Liked the course, especially the final project.",Extend the course duration.
STD002,Diya Sharma,Machine Learning,5,Excellent course with practical examples.,More live coding sessions.
STD003,Meera Nair,Cloud Computing,3,The pace was perfect for beginners.,Better course materials.
STD004,Kiran Reddy,Cloud Computing,5,Well explained and easy to follow.,Better course materials.
STD005,Neha Menon,Machine Learning,4,"Good overall, but needs improvement in project part.",Add weekend doubt-clearing sessions.
STD006,Kiran Varma,UI/UX Design,3,"Liked the course, especially the final project.",Extend the course duration.
STD007,Isha Kumar,UI/UX Design,3,The pace was perfect for beginners.,More live coding sessions.
STD008,Kiran Menon,UI/UX Design,4,"Liked the course, especially the final project.",Better course materials.
STD009,Diya Das,Software Testing,3,Excellent course with practical examples.,More practical examples.
STD010,Meera Sharma,Data Science using Python,4,The instructor was very supportive.,Add weekend doubt-clearing sessions.
STD011,Tejas Menon,Data Analytics,3,"Liked the course, especially the final project.",Add weekend doubt-clearing sessions.
STD012,Tejas Patel,UI/UX Design,3,Could include more quizzes for revision.,Extend the course duration.
STD013,Neha Patel,Artificial Intelligence,3,The instructor was very supportive.,"No suggestions, it was great!"
STD014,Meera Kumar,Software Testing,4,Needs more assignments to practice.,Include mock interviews.
STD015,Isha Das,Full Stack Web Development,4,The instructor was very supportive.,More practical examples.
STD016,Isha Das,Software Testing,3,The pace was perfect for beginners.,Better course materials.
STD017,Sneha Kumar,Data Analytics,5,The instructor was very supportive.,More live coding sessions.
STD018,Lakshmi Iyer,Machine Learning,4,Very interactive sessions.,More live coding sessions.
STD019,Lakshmi Menon,Artificial Intelligence,4,Awesome learning experience.,More practical examples.
STD020,Harini Das,Artificial Intelligence,5,Excellent course with practical examples.,Include more datasets for practice.
STD021,Ananya Sharma,Cloud Computing,3,"Liked the course, especially the final project.",Include mock interviews.
STD022,Neha Patel,Artificial Intelligence,5,Very interactive sessions.,Extend the course duration.
STD023,Irfan Varma,UI/UX Design,5,"Good content, but could use more real-world case studies.",Include more datasets for practice.
STD024,Kiran Patel,Machine Learning,4,Excellent course with practical examples.,Extend the course duration.
STD025,Kiran Das,Cloud Computing,3,Excellent course with practical examples.,"No suggestions, it was great!"
STD026,Nisha Iyer,Data Analytics,5,"Good content, but could use more real-world case studies.",More practical examples.
STD027,Aditya Kumar,UI/UX Design,4,The pace was perfect for beginners.,Include more datasets for practice.
STD028,Arjun Iyer,Full Stack Web Development,3,Very interactive sessions.,Extend the course duration.
STD029,Sneha Iyer,Full Stack Web Development,4,Excellent course with practical examples.,Extend the course duration.
STD030,Diya Kumar,Software Testing,3,"Good overall, but needs improvement in project part.",Include mock interviews.
STD031,Aditya Kumar,Artificial Intelligence,3,Needs more assignments to practice.,Provide additional reference materials.
STD032,Meera Kumar,Cyber Security,3,Engaging sessions with hands-on learning.,Provide additional reference materials.
STD033,Gaurav Das,Software Testing,5,"Good overall, but needs improvement in project part.",Provide additional reference materials.
STD034,Irfan Menon,Software Testing,5,Engaging sessions with hands-on learning.,More live coding sessions.
STD035,Rahul Varma,Artificial Intelligence,5,Excellent course with practical examples.,Include mock interviews.
STD036,Gaurav Das,Machine Learning,4,Well explained and easy to follow.,Extend the course duration.
STD037,Irfan Das,Cyber Security,4,Very interactive sessions.,More practical examples.
STD038,Ananya Pillai,Data Analytics,4,"Good overall, but needs improvement in project part.",Provide additional reference materials.
STD039,Meera Sharma,Cyber Security,4,Too fast-paced in some modules.,More live coding sessions.
STD040,Aarav Varma,Cloud Computing,3,Engaging sessions with hands-on learning.,Include more datasets for practice.
STD041,Priya Iyer,Cloud Computing,5,The pace was perfect for beginners.,More practical examples.
STD042,Diya Iyer,Machine Learning,5,Could include more quizzes for revision.,"No suggestions, it was great!"
STD043,Lakshmi Menon,Machine Learning,4,Excellent course with practical examples.,Include mock interviews.
STD044,Lakshmi Patel,Cyber Security,4,The pace was perfect for beginners.,Provide additional reference materials.
STD045,Diya Menon,Software Testing,3,"Good content, but could use more real-world case studies.",Add weekend doubt-clearing sessions.
STD046,Kiran Pillai,UI/UX Design,5,Well explained and easy to follow.,Add more projects.
STD047,Rahul Reddy,Power BI,4,"Good overall, but needs improvement in project part.",Add more projects.
STD048,Neha Kumar,Machine Learning,3,The instructor was very supportive.,Extend the course duration.
STD049,Kiran Patel,Machine Learning,4,Needs more assignments to practice.,More practical examples.
STD050,Arjun Menon,Software Testing,4,Needs more assignments to practice.,Provide additional reference materials.
STD051,Gaurav Pillai,Cyber Security,3,Too fast-paced in some modules.,Better course materials.
STD052,Irfan Das,Cyber Security,3,"Good overall, but needs improvement in project part.",Add weekend doubt-clearing sessions.
STD053,Neha Varma,Machine Learning,4,"Liked the course, especially the final project.","No suggestions, it was great!"
STD054,Rahul Menon,Cloud Computing,3,Well structured and informative.,Better course materials.
STD055,Irfan Reddy,Software Testing,3,Could include more quizzes for revision.,Include mock interviews.
STD056,Diya Kumar,Cyber Security,3,"Good overall, but needs improvement in project part.",Include more datasets for practice.
STD057,Ananya Nair,Cyber Security,3,Could include more quizzes for revision.,More practical examples.
STD058,Meera Sharma,Full Stack Web Development,5,The pace was perfect for beginners.,Add more projects.
STD059,Gaurav Sharma,Artificial Intelligence,3,Too fast-paced in some modules.,Provide additional reference materials.
STD060,Harini Sharma,Data Analytics,4,Could include more quizzes for revision.,"No suggestions, it was great!"
STD061,Isha Das,Data Analytics,5,Excellent course with practical examples.,Provide additional reference materials.
STD062,Priya Menon,Power BI,4,Very interactive sessions.,"No suggestions, it was great!"
STD063,Ananya Menon,Power BI,5,Very interactive sessions.,"No suggestions, it was great!"
STD064,Rohan Patel,Data Analytics,3,"Good content, but could use more real-world case studies.",Include more datasets for practice.
